Airline,Travel_date,From,To,Departure_time,Arrival_time,Duration_minutes,Stops,Price
Vistara,08/01/2023,Goa,Ahmedabad,21:55,22:55,1500,1.0, 22729
Vistara,08/01/2023,Goa,Ahmedabad,22:45,16:40,1075,1.0, 32110
Vistara,08/01/2023,Goa,Ahmedabad,21:55,15:00,1025,1.0, 37988
Vistara,08/01/2023,Goa,Ahmedabad,22:45,15:00,975,2.0, 64163
SpiceJet,08/01/2023,Goa,Tirupati,18:40,07:20,760,1.0, 20473
IndiGo,08/01/2023,Goa,Tirupati,22:05,07:30,565,1.0, 20787
,08/01/2023,Goa,Bengaluru,,,0,1.0,
Vistara,08/01/2023,Goa,Bengaluru,22:45,19:15,1230,1.0, 35657
Vistara,08/01/2023,Goa,Bengaluru,22:45,19:15,1230,1.0, 35657
Vistara,08/01/2023,Goa,Bengaluru,22:45,07:45,540,1.0, 37001
Vistara,08/01/2023,Goa,Mumbai,21:55,15:50,1075,2.0, 22332
Vistara,08/01/2023,Goa,Mumbai,21:55,08:00,605,1.0, 23044
Vistara,08/01/2023,Goa,Mumbai,22:45,00:15,90,0.0, 30359
IndiGo,08/01/2023,Goa,New Delhi,17:10,22:55,345,1.0, 13295
Go First,08/01/2023,Goa,New Delhi,23:55,08:00,485,1.0, 13398
IndiGo,08/01/2023,Goa,New Delhi,22:30,01:00,150,0.0, 15251
AirAsia,08/01/2023,Goa,New Delhi,23:05,01:45,160,0.0, 10759
Go First,08/01/2023,Goa,New Delhi,18:15,01:05,410,1.0, 16024
Vistara,08/01/2023,Goa,New Delhi,21:55,00:40,165,0.0, 16114
IndiGo,08/01/2023,Goa,New Delhi,23:45,07:15,450,1.0, 16219
AirAsia,08/01/2023,Goa,New Delhi,23:05,01:45,160,0.0, 18529
"Go First, IndiGo",08/01/2023,Goa,New Delhi,18:15,00:40,385,1.0, 18699
"Go First, Vistara",08/01/2023,Goa,New Delhi,17:05,23:00,355,1.0, 23108
Go First,08/01/2023,Goa,New Delhi,17:40,20:20,160,0.0, 23151
SpiceJet,08/01/2023,Goa,New Delhi,20:55,23:50,175,0.0, 24462
IndiGo,08/01/2023,Ahmedabad,Goa,20:55,22:45,110,0.0, 3999
SpiceJet,08/01/2023,Ahmedabad,Goa,23:00,00:45,105,0.0, 4299
Go First,08/01/2023,Ahmedabad,Goa,19:50,21:30,100,0.0, 5055
Go First,08/01/2023,Ahmedabad,Goa,21:10,09:55,765,1.0, 6270
Vistara,08/01/2023,Ahmedabad,Goa,17:15,00:05,410,1.0, 7614
IndiGo,08/01/2023,Ahmedabad,Goa,17:30,23:10,340,1.0, 8255
Vistara,08/01/2023,Ahmedabad,Goa,17:15,22:10,295,1.0, 8947
IndiGo,08/01/2023,Ahmedabad,Goa,23:25,07:00,455,1.0, 10461
Go First,08/01/2023,Ahmedabad,Goa,21:10,06:10,540,1.0, 10817
Go First,08/01/2023,Ahmedabad,Goa,20:10,06:10,600,1.0, 11818
SpiceJet,08/01/2023,Ahmedabad,Goa,17:55,13:25,1170,1.0, 12042
IndiGo,08/01/2023,Ahmedabad,Goa,22:20,06:10,470,1.0, 12303
IndiGo,08/01/2023,Ahmedabad,Goa,18:45,00:20,335,1.0, 14241
IndiGo,08/01/2023,Ahmedabad,Goa,21:05,06:45,580,1.0, 14879
SpiceJet,08/01/2023,Ahmedabad,Tirupati,17:55,20:00,1565,1.0, 12672
IndiGo,08/01/2023,Ahmedabad,Tirupati,23:25,07:30,485,1.0, 19289
Akasa Air,08/01/2023,Ahmedabad,Bengaluru,17:35,19:45,130,0.0, 7262
Akasa Air,08/01/2023,Ahmedabad,Bengaluru,21:35,23:35,120,0.0, 7262
Go First,08/01/2023,Ahmedabad,Bengaluru,21:10,23:25,135,0.0, 7265
Akasa Air,08/01/2023,Ahmedabad,Bengaluru,21:35,23:35,120,0.0, 5853
SpiceJet,08/01/2023,Ahmedabad,Bengaluru,23:00,"00:15
+ 2 DAY",1515,1.0, 7586
IndiGo,08/01/2023,Ahmedabad,Bengaluru,19:25,21:45,140,0.0, 7899
SpiceJet,08/01/2023,Ahmedabad,Bengaluru,17:55,17:05,1390,1.0, 10549
Vistara,08/01/2023,Ahmedabad,Mumbai,17:15,18:45,90,0.0, 5587
IndiGo,08/01/2023,Ahmedabad,Mumbai,17:30,18:40,70,0.0, 6035
IndiGo,08/01/2023,Ahmedabad,Mumbai,18:35,20:00,85,0.0, 6300
Go First,08/01/2023,Ahmedabad,Mumbai,21:10,22:30,80,0.0, 7647
Go First,08/01/2023,Ahmedabad,Mumbai,20:10,21:25,75,0.0, 8646
IndiGo,08/01/2023,Ahmedabad,Mumbai,22:20,23:35,75,0.0, 8680
"Alliance Air, IndiGo",08/01/2023,Ahmedabad,Mumbai,16:50,01:20,510,2.0, 14636
"Alliance Air, Go First",08/01/2023,Ahmedabad,Mumbai,16:50,00:40,470,2.0, 16058
IndiGo,08/01/2023,Ahmedabad,Mumbai,18:05,01:20,435,1.0, 23898
"IndiGo, Go First",08/01/2023,Ahmedabad,Mumbai,18:05,00:40,395,1.0, 25320
Alliance Air,08/01/2023,Ahmedabad,New Delhi,16:50,19:55,185,1.0, 8737
Air India,08/01/2023,Ahmedabad,New Delhi,21:30,23:10,100,0.0, 9441
Go First,08/01/2023,Ahmedabad,New Delhi,23:59,01:45,106,0.0, 9442
Vistara,08/01/2023,Ahmedabad,New Delhi,17:15,07:55,880,1.0, 12517
SpiceJet,08/01/2023,Ahmedabad,New Delhi,22:05,10:30,745,1.0, 17614
IndiGo,08/01/2023,Ahmedabad,New Delhi,18:05,19:50,105,0.0, 17999
Vistara,08/01/2023,Ahmedabad,New Delhi,17:15,21:55,280,1.0, 32541
SpiceJet,08/01/2023,Tirupati,Goa,20:00,07:10,670,1.0, 7993
SpiceJet,08/01/2023,Tirupati,Goa,20:00,18:10,1330,1.0, 7993
SpiceJet,08/01/2023,Tirupati,Goa,20:55,07:10,615,1.0, 8517
SpiceJet,08/01/2023,Tirupati,Goa,20:55,18:10,1275,1.0, 8517
IndiGo,08/01/2023,Tirupati,Goa,20:05,00:20,255,1.0, 12113
IndiGo,08/01/2023,Tirupati,Goa,21:00,07:00,600,1.0, 15263
IndiGo,08/01/2023,Tirupati,Ahmedabad,21:00,07:15,615,1.0, 18890
IndiGo,08/01/2023,Tirupati,Mumbai,20:05,00:15,250,1.0, 14273
"SpiceJet, IndiGo",08/01/2023,Tirupati,Mumbai,20:00,06:20,620,2.0, 19344
SpiceJet,08/01/2023,Tirupati,New Delhi,20:55,19:20,1345,1.0, 12437
SpiceJet,08/01/2023,Tirupati,New Delhi,20:00,19:20,1400,1.0, 16741
IndiGo,08/01/2023,Tirupati,New Delhi,20:05,07:30,685,1.0, 18421
Air India,08/01/2023,Tirupati,New Delhi,14:30,18:45,255,1.0, 9338
IndiGo,08/01/2023,Tirupati,New Delhi,20:05,01:10,305,1.0, 19996
IndiGo,08/01/2023,Tirupati,New Delhi,21:00,07:30,630,1.0, 21571
Alliance Air,08/01/2023,Bengaluru,Goa,22:30,23:55,85,0.0, 2749
SpiceJet,08/01/2023,Bengaluru,Goa,20:25,22:00,95,0.0, 2795
IndiGo,08/01/2023,Bengaluru,Goa,19:50,21:10,80,0.0, 2796
IndiGo,08/01/2023,Bengaluru,Goa,21:55,23:05,70,0.0, 2800
Vistara,08/01/2023,Bengaluru,Goa,18:30,00:05,335,1.0, 4823
"Vistara, Go First",08/01/2023,Bengaluru,Ahmedabad,18:30,00:40,370,1.0, 4696
"Vistara, Go First",08/01/2023,Bengaluru,Ahmedabad,19:00,00:40,340,1.0, 4958
Vistara,08/01/2023,Bengaluru,Ahmedabad,19:55,16:40,1245,1.0, 6312
"IndiGo, Go First",08/01/2023,Bengaluru,Ahmedabad,19:25,00:40,315,1.0, 6564
"IndiGo, Go First",08/01/2023,Bengaluru,Ahmedabad,18:00,00:40,400,1.0, 7699
SpiceJet,08/01/2023,Bengaluru,Ahmedabad,20:25,02:55,390,1.0, 8063
"Vistara, Go First",08/01/2023,Bengaluru,Ahmedabad,18:30,23:50,320,1.0, 8343
"Vistara, Go First",08/01/2023,Bengaluru,Ahmedabad,19:00,23:50,290,1.0, 8605
"AirAsia, Go First",08/01/2023,Bengaluru,Ahmedabad,17:15,00:40,445,1.0, 8733
Vistara,08/01/2023,Bengaluru,Ahmedabad,19:55,23:55,240,1.0, 9044
Go First,08/01/2023,Bengaluru,Ahmedabad,18:30,20:35,125,0.0, 9049
IndiGo,08/01/2023,Bengaluru,Ahmedabad,23:40,07:15,455,1.0, 10570
"IndiGo, Go First",08/01/2023,Bengaluru,Ahmedabad,18:00,23:50,350,1.0, 11346
IndiGo,08/01/2023,Bengaluru,Ahmedabad,23:50,06:20,390,1.0, 11767
Vistara,08/01/2023,Bengaluru,Mumbai,18:30,20:15,105,0.0, 2797
Vistara,08/01/2023,Bengaluru,Mumbai,19:00,20:40,100,0.0, 3059
Vistara,08/01/2023,Bengaluru,Mumbai,19:55,21:40,105,0.0, 3059
AirAsia,08/01/2023,Bengaluru,Mumbai,17:15,19:00,105,0.0, 3839
AirAsia,08/01/2023,Bengaluru,Mumbai,22:50,00:40,110,0.0, 3839
Air India,08/01/2023,Bengaluru,Mumbai,21:20,23:20,120,0.0, 3873
Vistara,08/01/2023,Bengaluru,Mumbai,21:35,23:20,105,0.0, 3899
Akasa Air,08/01/2023,Bengaluru,Mumbai,19:45,21:35,110,0.0, 4035
AirAsia,08/01/2023,Bengaluru,Mumbai,19:20,21:00,100,0.0, 4424
IndiGo,08/01/2023,Bengaluru,Mumbai,19:25,21:15,110,0.0, 4665
IndiGo,08/01/2023,Bengaluru,Mumbai,21:30,23:25,115,0.0, 4665
Go First,08/01/2023,Bengaluru,Mumbai,20:25,22:00,95,0.0, 4851
IndiGo,08/01/2023,Bengaluru,Mumbai,18:00,19:50,110,0.0, 5800
SpiceJet,08/01/2023,Bengaluru,Mumbai,20:25,18:20,1315,1.0, 6954
Go First,08/01/2023,Bengaluru,Mumbai,18:50,20:35,105,0.0, 11403
SpiceJet,08/01/2023,Bengaluru,Mumbai,20:25,04:05,460,1.0, 11723
Vistara,08/01/2023,Bengaluru,New Delhi,17:50,20:30,160,0.0, 5763
Air India,08/01/2023,Bengaluru,New Delhi,21:00,00:10,190,0.0, 5763
AirAsia,08/01/2023,Bengaluru,New Delhi,19:50,22:50,180,0.0, 6068
AirAsia,08/01/2023,Bengaluru,New Delhi,22:40,01:25,165,0.0, 6068
IndiGo,08/01/2023,Bengaluru,New Delhi,22:00,01:00,180,0.0, 6499
Vistara,08/01/2023,Bengaluru,New Delhi,21:10,23:45,155,0.0, 6603
IndiGo,08/01/2023,Bengaluru,New Delhi,23:20,02:10,170,0.0, 6919
IndiGo,08/01/2023,Bengaluru,New Delhi,20:40,23:35,175,0.0, 7339
Vistara,08/01/2023,Bengaluru,New Delhi,19:40,22:20,160,0.0, 7443
IndiGo,08/01/2023,Bengaluru,New Delhi,16:50,19:45,175,0.0, 7457
IndiGo,08/01/2023,Bengaluru,New Delhi,18:00,20:50,170,0.0, 7457
AirAsia,08/01/2023,Bengaluru,New Delhi,17:55,20:45,170,0.0, 8493
Go First,08/01/2023,Bengaluru,New Delhi,21:55,00:40,165,0.0, 9000
Go First,08/01/2023,Bengaluru,New Delhi,20:25,10:55,870,1.0, 9126
Vistara,08/01/2023,Bengaluru,New Delhi,18:45,21:25,160,0.0, 15843
IndiGo,08/01/2023,Bengaluru,New Delhi,18:50,00:05,315,1.0, 16440
Vistara,08/01/2023,Bengaluru,New Delhi,19:55,01:00,305,1.0, 17549
AirAsia,08/01/2023,Mumbai,Goa,23:20,00:30,70,0.0, 2395
Vistara,08/01/2023,Mumbai,Goa,22:50,00:05,75,0.0, 2405
Go First,08/01/2023,Mumbai,Goa,22:05,23:25,80,0.0, 2596
IndiGo,08/01/2023,Mumbai,Goa,21:55,23:10,75,0.0, 2650
Alliance Air,08/01/2023,Mumbai,Goa,19:00,20:30,90,0.0, 2900
SpiceJet,08/01/2023,Mumbai,Goa,21:05,22:20,75,0.0, 2984
SpiceJet,08/01/2023,Mumbai,Goa,22:45,23:55,70,0.0, 2984
Air India,08/01/2023,Mumbai,Goa,21:00,22:20,80,0.0, 3213
Vistara,08/01/2023,Mumbai,Goa,20:55,22:10,75,0.0, 3738
AirAsia,08/01/2023,Mumbai,Goa,19:40,05:25,585,1.0, 5672
IndiGo,08/01/2023,Mumbai,Goa,17:00,18:15,75,0.0, 6993
Vistara,08/01/2023,Mumbai,Goa,19:10,14:05,1135,1.0, 8390
Go First,08/01/2023,Mumbai,Ahmedabad,22:40,23:50,70,0.0, 1899
IndiGo,08/01/2023,Mumbai,Ahmedabad,18:35,19:50,75,0.0, 4245
IndiGo,08/01/2023,Mumbai,Ahmedabad,20:25,21:40,75,0.0, 4245
Go First,08/01/2023,Mumbai,Ahmedabad,23:30,00:40,70,0.0, 5097
Vistara,08/01/2023,Mumbai,Ahmedabad,22:40,23:55,75,0.0, 6363
Go First,08/01/2023,Mumbai,Ahmedabad,18:10,19:20,70,0.0, 9801
Vistara,08/01/2023,Mumbai,Ahmedabad,20:55,22:55,1560,1.0, 16758
Go First,08/01/2023,Mumbai,Bengaluru,19:45,21:25,100,0.0, 2072
Vistara,08/01/2023,Mumbai,Bengaluru,19:10,20:55,105,0.0, 5345
AirAsia,08/01/2023,Mumbai,Bengaluru,19:40,21:40,120,0.0, 6103
IndiGo,08/01/2023,Mumbai,Bengaluru,23:10,00:45,95,0.0, 6606
Akasa Air,08/01/2023,Mumbai,Bengaluru,20:25,22:05,100,0.0, 6732
Akasa Air,08/01/2023,Mumbai,Bengaluru,22:20,00:05,105,0.0, 6994
SpiceJet,08/01/2023,Mumbai,Bengaluru,22:45,"00:15
+ 2 DAY",1530,1.0, 7375
IndiGo,08/01/2023,Mumbai,Bengaluru,20:35,22:25,110,0.0, 8175
AirAsia,08/01/2023,Mumbai,Bengaluru,23:20,07:05,465,1.0, 9826
Vistara,08/01/2023,Mumbai,Bengaluru,21:30,22:50,80,0.0, 9965
IndiGo,08/01/2023,Mumbai,Bengaluru,16:45,18:40,115,0.0, 10085
Vistara,08/01/2023,Mumbai,Bengaluru,22:50,15:55,1025,1.0, 10227
Vistara,08/01/2023,Mumbai,Bengaluru,17:30,19:15,105,0.0, 17828
AirAsia,08/01/2023,Mumbai,Bengaluru,20:35,22:15,100,0.0, 20503
AirAsia,08/01/2023,Mumbai,Bengaluru,21:50,23:50,120,0.0, 20503
IndiGo,08/01/2023,Mumbai,Bengaluru,18:45,00:05,320,1.0, 22717
IndiGo,08/01/2023,Mumbai,New Delhi,23:15,01:40,145,0.0, 5899
Go First,08/01/2023,Mumbai,New Delhi,19:40,09:50,850,1.0, 6863
IndiGo,08/01/2023,Mumbai,New Delhi,22:15,00:40,145,0.0, 7308
Vistara,08/01/2023,Mumbai,New Delhi,20:55,23:00,125,0.0, 10143
Vistara,08/01/2023,Mumbai,New Delhi,19:10,10:35,925,1.0, 10458
Go First,08/01/2023,Mumbai,New Delhi,21:15,23:30,135,0.0, 10668
AirAsia,08/01/2023,Mumbai,New Delhi,19:40,01:25,345,1.0, 10720
Go First,08/01/2023,Mumbai,New Delhi,20:15,22:25,130,0.0, 12768
IndiGo,08/01/2023,Mumbai,New Delhi,20:25,05:45,560,1.0, 12855
IndiGo,08/01/2023,Mumbai,New Delhi,23:50,06:40,410,1.0, 13136
SpiceJet,08/01/2023,Mumbai,New Delhi,21:45,23:40,115,0.0, 13325
